pr_auc,roc_auc,Model
0.3249602602662888,0.7587163516609393,LR + BoW
0.16107417750896386,0.6325350801832761,LSTM
0.23763239018843493,0.7505369415807561,LSTM + Additive Attention
0.26250390627732584,0.7430734536082473,LSTM + Additive Attention (Log Odds at Test)
0.2861346800230539,0.7797286655211912,LSTM + Log Odds Attention
