pr_auc,roc_auc,Model
0.45804634625099333,0.8190066461177221,LR + BoW
0.29391280759304056,0.7363798322394283,LSTM
0.4746583752549122,0.8299620968670546,LSTM + Additive Attention
0.40953671209818604,0.7975720537088044,LSTM + Additive Attention (Log Odds at Test)
0.4192397332620597,0.8153010707387336,LSTM + Log Odds Attention
