pr_auc,roc_auc,Model
0.386733212763358,0.7983310152990264,LR + BoW
0.17596706721562244,0.6563282336578581,LSTM
0.3465000656865128,0.7855910987482615,LSTM + Additive Attention
0.33733949596035356,0.8084654612888271,LSTM + Additive Attention (Log Odds at Test)
0.38300085778603826,0.8132406119610571,LSTM + Log Odds Attention
