pr_auc,roc_auc,Model
0.5898295780206021,0.8602234337354687,LR + BoW
0.40991519022808026,0.7823227633758618,LSTM
0.5769615337331687,0.8568278053577388,LSTM + Additive Attention
0.47979444903109886,0.8137058535861115,LSTM + Additive Attention (Log Odds at Test)
0.5588225616399598,0.851435906281352,LSTM + Log Odds Attention
