pr_auc,roc_auc,Model
0.29471874803606407,0.7023569474683191,LR + BoW
0.21968745345751986,0.6305505179797593,LSTM
0.2956671458618659,0.7053420101921191,LSTM + Additive Attention
0.2641206999505627,0.6910814970771426,LSTM + Additive Attention (Log Odds at Test)
0.29267783554484866,0.7095884074614606,LSTM + Log Odds Attention
